text,intent
Tugas [Representasi Pengetahuan](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Tugas [Sistem Multi Agen](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Tugas [IoT dengan Kemampuan Cerdas](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Tugas [Pengolahan Citra Digital](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Tugas [Pengolahan Bahasa Alami](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Tugas [Sistem Pemberi Rekomendasi](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Tugas [Big Data dan AI](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Tugas [Sistem Keamanan Cerdas](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Tugas [Visualisasi Data](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Tugas [Desain Interaksi](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Tugas [Analisis Jejaring Sosial](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Tugas [Visi Komputer](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Tugas [Forensik Digital](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Tugas [Verifikasi dan Validasi Perangkat Lunak](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Tugas [Process Mining](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Tugas [Generative AI](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Tugas [Komputasi Paralel](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Matkul pertama [hari senin](WAKTU) apa?,get_jadwal
Dimana tempat kuliah [Computing Project](MATKUL)?,get_ruangan
Dimana tempat kuliah [Kerja Praktik](MATKUL)?,get_ruangan
Dimana tempat kuliah [Tugas Akhir](MATKUL)?,get_ruangan
Dimana tempat kuliah [Swarm and Evolutionary Computation](MATKUL)?,get_ruangan
Dimana tempat kuliah [Representasi Pengetahuan](MATKUL)?,get_ruangan
Dimana tempat kuliah [Sistem Multi Agen](MATKUL)?,get_ruangan
Dimana tempat kuliah [IoT dengan Kemampuan Cerdas](MATKUL)?,get_ruangan
Dimana tempat kuliah [Pengolahan Citra Digital](MATKUL)?,get_ruangan
Dimana tempat kuliah [Pengolahan Bahasa Alami](MATKUL)?,get_ruangan
Dimana tempat kuliah [Sistem Pemberi Rekomendasi](MATKUL)?,get_ruangan
Dimana tempat kuliah [Big Data dan AI](MATKUL)?,get_ruangan
Dimana tempat kuliah [Sistem Keamanan Cerdas](MATKUL)?,get_ruangan
Dimana tempat kuliah [Visualisasi Data](MATKUL)?,get_ruangan
Dimana tempat kuliah [Desain Interaksi](MATKUL)?,get_ruangan
Dimana tempat kuliah [Analisis Jejaring Sosial](MATKUL)?,get_ruangan
Dimana tempat kuliah [Visi Komputer](MATKUL)?,get_ruangan
Dimana tempat kuliah [Forensik Digital](MATKUL)?,get_ruangan
Dimana tempat kuliah [Verifikasi dan Validasi Perangkat Lunak](MATKUL)?,get_ruangan
Dimana tempat kuliah [Process Mining](MATKUL)?,get_ruangan
Dimana tempat kuliah [Generative AI](MATKUL)?,get_ruangan
Dimana tempat kuliah [Komputasi Paralel](MATKUL)?,get_ruangan
Minta kontak dosen [Computing Project](MATKUL),get_info_dosen
Minta kontak dosen [Kerja Praktik](MATKUL),get_info_dosen
Minta kontak dosen [Tugas Akhir](MATKUL),get_info_dosen
Minta kontak dosen [Swarm and Evolutionary Computation](MATKUL),get_info_dosen
Minta kontak dosen [Representasi Pengetahuan](MATKUL),get_info_dosen
Minta kontak dosen [Sistem Multi Agen](MATKUL),get_info_dosen
Minta kontak dosen [IoT dengan Kemampuan Cerdas](MATKUL),get_info_dosen
Minta kontak dosen [Pengolahan Citra Digital](MATKUL),get_info_dosen
Minta kontak dosen [Pengolahan Bahasa Alami](MATKUL),get_info_dosen
Minta kontak dosen [Sistem Pemberi Rekomendasi](MATKUL),get_info_dosen
Minta kontak dosen [Big Data dan AI](MATKUL),get_info_dosen
Minta kontak dosen [Sistem Keamanan Cerdas](MATKUL),get_info_dosen
Minta kontak dosen [Visualisasi Data](MATKUL),get_info_dosen
Minta kontak dosen [Desain Interaksi](MATKUL),get_info_dosen
Minta kontak dosen [Analisis Jejaring Sosial](MATKUL),get_info_dosen
Minta kontak dosen [Visi Komputer](MATKUL),get_info_dosen
Minta kontak dosen [Forensik Digital](MATKUL),get_info_dosen
Minta kontak dosen [Verifikasi dan Validasi Perangkat Lunak](MATKUL),get_info_dosen
Minta kontak dosen [Process Mining](MATKUL),get_info_dosen
Minta kontak dosen [Generative AI](MATKUL),get_info_dosen
Minta kontak dosen [Komputasi Paralel](MATKUL),get_info_dosen
Ada tagihan tugas ga buat [minggu depan](WAKTU)?,get_tugas_untuk_mata_kuliah
[Computing Project](MATKUL) jam brp selesai?,get_jadwal
[Kerja Praktik](MATKUL) jam brp selesai?,get_jadwal
[Tugas Akhir](MATKUL) jam brp selesai?,get_jadwal
[Swarm and Evolutionary Computation](MATKUL) jam brp selesai?,get_jadwal
[Representasi Pengetahuan](MATKUL) jam brp selesai?,get_jadwal
[Sistem Multi Agen](MATKUL) jam brp selesai?,get_jadwal
[IoT dengan Kemampuan Cerdas](MATKUL) jam brp selesai?,get_jadwal
[Pengolahan Citra Digital](MATKUL) jam brp selesai?,get_jadwal
[Pengolahan Bahasa Alami](MATKUL) jam brp selesai?,get_jadwal
[Sistem Pemberi Rekomendasi](MATKUL) jam brp selesai?,get_jadwal
[Big Data dan AI](MATKUL) jam brp selesai?,get_jadwal
[Sistem Keamanan Cerdas](MATKUL) jam brp selesai?,get_jadwal
[Visualisasi Data](MATKUL) jam brp selesai?,get_jadwal
[Desain Interaksi](MATKUL) jam brp selesai?,get_jadwal
[Analisis Jejaring Sosial](MATKUL) jam brp selesai?,get_jadwal
[Visi Komputer](MATKUL) jam brp selesai?,get_jadwal
[Forensik Digital](MATKUL) jam brp selesai?,get_jadwal
[Verifikasi dan Validasi Perangkat Lunak](MATKUL) jam brp selesai?,get_jadwal
[Process Mining](MATKUL) jam brp selesai?,get_jadwal
[Generative AI](MATKUL) jam brp selesai?,get_jadwal
[Komputasi Paralel](MATKUL) jam brp selesai?,get_jadwal
Cek ruangan untuk [Computing Project](MATKUL),get_ruangan
Cek ruangan untuk [Kerja Praktik](MATKUL),get_ruangan
Cek ruangan untuk [Tugas Akhir](MATKUL),get_ruangan
Cek ruangan untuk [Swarm and Evolutionary Computation](MATKUL),get_ruangan
Cek ruangan untuk [Representasi Pengetahuan](MATKUL),get_ruangan
Cek ruangan untuk [Sistem Multi Agen](MATKUL),get_ruangan
Cek ruangan untuk [IoT dengan Kemampuan Cerdas](MATKUL),get_ruangan
Cek ruangan untuk [Pengolahan Citra Digital](MATKUL),get_ruangan
Cek ruangan untuk [Pengolahan Bahasa Alami](MATKUL),get_ruangan
Cek ruangan untuk [Sistem Pemberi Rekomendasi](MATKUL),get_ruangan
Cek ruangan untuk [Big Data dan AI](MATKUL),get_ruangan
Cek ruangan untuk [Sistem Keamanan Cerdas](MATKUL),get_ruangan
Cek ruangan untuk [Visualisasi Data](MATKUL),get_ruangan
Cek ruangan untuk [Desain Interaksi](MATKUL),get_ruangan
Cek ruangan untuk [Analisis Jejaring Sosial](MATKUL),get_ruangan
Cek ruangan untuk [Visi Komputer](MATKUL),get_ruangan
Cek ruangan untuk [Forensik Digital](MATKUL),get_ruangan
Cek ruangan untuk [Verifikasi dan Validasi Perangkat Lunak](MATKUL),get_ruangan
Cek ruangan untuk [Process Mining](MATKUL),get_ruangan
Cek ruangan untuk [Generative AI](MATKUL),get_ruangan
Cek ruangan untuk [Komputasi Paralel](MATKUL),get_ruangan
Sp nama dosen [Computing Project](MATKUL)?,get_info_dosen
Sp nama dosen [Kerja Praktik](MATKUL)?,get_info_dosen
Sp nama dosen [Tugas Akhir](MATKUL)?,get_info_dosen
Sp nama dosen [Swarm and Evolutionary Computation](MATKUL)?,get_info_dosen
Sp nama dosen [Representasi Pengetahuan](MATKUL)?,get_info_dosen
Sp nama dosen [Sistem Multi Agen](MATKUL)?,get_info_dosen
Sp nama dosen [IoT dengan Kemampuan Cerdas](MATKUL)?,get_info_dosen
Sp nama dosen [Pengolahan Citra Digital](MATKUL)?,get_info_dosen
Sp nama dosen [Pengolahan Bahasa Alami](MATKUL)?,get_info_dosen
Sp nama dosen [Sistem Pemberi Rekomendasi](MATKUL)?,get_info_dosen
Sp nama dosen [Big Data dan AI](MATKUL)?,get_info_dosen
Sp nama dosen [Sistem Keamanan Cerdas](MATKUL)?,get_info_dosen
Sp nama dosen [Visualisasi Data](MATKUL)?,get_info_dosen
Sp nama dosen [Desain Interaksi](MATKUL)?,get_info_dosen
Sp nama dosen [Analisis Jejaring Sosial](MATKUL)?,get_info_dosen
Sp nama dosen [Visi Komputer](MATKUL)?,get_info_dosen
Sp nama dosen [Forensik Digital](MATKUL)?,get_info_dosen
Sp nama dosen [Verifikasi dan Validasi Perangkat Lunak](MATKUL)?,get_info_dosen
Sp nama dosen [Process Mining](MATKUL)?,get_info_dosen
Sp nama dosen [Generative AI](MATKUL)?,get_info_dosen
Sp nama dosen [Komputasi Paralel](MATKUL)?,get_info_dosen
Spill tugas [Computing Project](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [Kerja Praktik](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [Tugas Akhir](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [Swarm and Evolutionary Computation](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [Representasi Pengetahuan](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [Sistem Multi Agen](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [IoT dengan Kemampuan Cerdas](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [Pengolahan Citra Digital](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [Pengolahan Bahasa Alami](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [Sistem Pemberi Rekomendasi](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [Big Data dan AI](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [Sistem Keamanan Cerdas](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [Visualisasi Data](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [Desain Interaksi](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [Analisis Jejaring Sosial](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [Visi Komputer](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [Forensik Digital](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [Verifikasi dan Validasi Perangkat Lunak](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [Process Mining](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [Generative AI](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Spill tugas [Komputasi Paralel](MATKUL) [hari ini](WAKTU),get_tugas_untuk_mata_kuliah
Kapan jadwal [Computing Project](MATKUL)?,get_jadwal
Kapan jadwal [Kerja Praktik](MATKUL)?,get_jadwal
Kapan jadwal [Tugas Akhir](MATKUL)?,get_jadwal
Kapan jadwal [Swarm and Evolutionary Computation](MATKUL)?,get_jadwal
Kapan jadwal [Representasi Pengetahuan](MATKUL)?,get_jadwal
Kapan jadwal [Sistem Multi Agen](MATKUL)?,get_jadwal
Kapan jadwal [IoT dengan Kemampuan Cerdas](MATKUL)?,get_jadwal
Kapan jadwal [Pengolahan Citra Digital](MATKUL)?,get_jadwal
Kapan jadwal [Pengolahan Bahasa Alami](MATKUL)?,get_jadwal
Kapan jadwal [Sistem Pemberi Rekomendasi](MATKUL)?,get_jadwal
Kapan jadwal [Big Data dan AI](MATKUL)?,get_jadwal
Kapan jadwal [Sistem Keamanan Cerdas](MATKUL)?,get_jadwal
Kapan jadwal [Visualisasi Data](MATKUL)?,get_jadwal
Kapan jadwal [Desain Interaksi](MATKUL)?,get_jadwal
Kapan jadwal [Analisis Jejaring Sosial](MATKUL)?,get_jadwal
Kapan jadwal [Visi Komputer](MATKUL)?,get_jadwal
Kapan jadwal [Forensik Digital](MATKUL)?,get_jadwal
Kapan jadwal [Verifikasi dan Validasi Perangkat Lunak](MATKUL)?,get_jadwal
Kapan jadwal [Process Mining](MATKUL)?,get_jadwal
Kapan jadwal [Generative AI](MATKUL)?,get_jadwal
Kapan jadwal [Komputasi Paralel](MATKUL)?,get_jadwal
Info lokasi kelas [Computing Project](MATKUL),get_ruangan
Info lokasi kelas [Kerja Praktik](MATKUL),get_ruangan
Info lokasi kelas [Tugas Akhir](MATKUL),get_ruangan
Info lokasi kelas [Swarm and Evolutionary Computation](MATKUL),get_ruangan
Info lokasi kelas [Representasi Pengetahuan](MATKUL),get_ruangan
Info lokasi kelas [Sistem Multi Agen](MATKUL),get_ruangan
Info lokasi kelas [IoT dengan Kemampuan Cerdas](MATKUL),get_ruangan
Info lokasi kelas [Pengolahan Citra Digital](MATKUL),get_ruangan
Info lokasi kelas [Pengolahan Bahasa Alami](MATKUL),get_ruangan
Info lokasi kelas [Sistem Pemberi Rekomendasi](MATKUL),get_ruangan
Info lokasi kelas [Big Data dan AI](MATKUL),get_ruangan
Info lokasi kelas [Sistem Keamanan Cerdas](MATKUL),get_ruangan
Info lokasi kelas [Visualisasi Data](MATKUL),get_ruangan
Info lokasi kelas [Desain Interaksi](MATKUL),get_ruangan
Info lokasi kelas [Analisis Jejaring Sosial](MATKUL),get_ruangan
Info lokasi kelas [Visi Komputer](MATKUL),get_ruangan
Info lokasi kelas [Forensik Digital](MATKUL),get_ruangan
Info lokasi kelas [Verifikasi dan Validasi Perangkat Lunak](MATKUL),get_ruangan
Info lokasi kelas [Process Mining](MATKUL),get_ruangan
Info lokasi kelas [Generative AI](MATKUL),get_ruangan
Info lokasi kelas [Komputasi Paralel](MATKUL),get_ruangan
Masih ada tugas yg belum kelar ga buat [besok](WAKTU)?,get_tugas_untuk_mata_kuliah
Cek jam kuliah [besok pagi](WAKTU),get_jadwal
Tolong list PR [Computing Project](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [Kerja Praktik](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [Tugas Akhir](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [Swarm and Evolutionary Computation](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [Representasi Pengetahuan](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [Sistem Multi Agen](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [IoT dengan Kemampuan Cerdas](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [Pengolahan Citra Digital](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [Pengolahan Bahasa Alami](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [Sistem Pemberi Rekomendasi](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [Big Data dan AI](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [Sistem Keamanan Cerdas](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [Visualisasi Data](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [Desain Interaksi](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [Analisis Jejaring Sosial](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [Visi Komputer](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [Forensik Digital](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [Verifikasi dan Validasi Perangkat Lunak](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [Process Mining](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [Generative AI](MATKUL),get_tugas_untuk_mata_kuliah
Tolong list PR [Komputasi Paralel](MATKUL),get_tugas_untuk_mata_kuliah
Durasi kelas [Computing Project](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [Kerja Praktik](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [Tugas Akhir](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [Swarm and Evolutionary Computation](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [Representasi Pengetahuan](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [Sistem Multi Agen](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [IoT dengan Kemampuan Cerdas](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [Pengolahan Citra Digital](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [Pengolahan Bahasa Alami](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [Sistem Pemberi Rekomendasi](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [Big Data dan AI](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [Sistem Keamanan Cerdas](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [Visualisasi Data](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [Desain Interaksi](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [Analisis Jejaring Sosial](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [Visi Komputer](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [Forensik Digital](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [Verifikasi dan Validasi Perangkat Lunak](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [Process Mining](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [Generative AI](MATKUL) sampai jam berapa?,get_jadwal
Durasi kelas [Komputasi Paralel](MATKUL) sampai jam berapa?,get_jadwal
Rekap tugas [Computing Project](MATKUL),get_tugas_untuk_mata_kuliah
Rekap tugas [Kerja Praktik](MATKUL),get_tugas_untuk_mata_kuliah
Rekap tugas [Tugas Akhir](MATKUL),get_tugas_untuk_mata_kuliah
Rekap tugas [Swarm and Evolutionary Computation](MATKUL),get_tugas_untuk_mata_kuliah
Rekap tugas [Representasi Pengetahuan](MATKUL),get_tugas_untuk_mata_kuliah
Rekap tugas [Sistem Multi Agen](MATKUL),get_tugas_untuk_mata_kuliah
Rekap tugas [IoT dengan Kemampuan Cerdas](MATKUL),get_tugas_untuk_mata_kuliah
Rekap tugas [Pengolahan Citra Digital](MATKUL),get_tugas_untuk_mata_kuliah
Rekap tugas [Pengolahan Bahasa Alami](MATKUL),get_tugas_untuk_mata_kuliah
Rekap tugas [Sistem Pemberi Rekomendasi](MATKUL),get_tugas_untuk_mata_kuliah
